10001,Golden State Warriors,San Francisco Giants,San Francisco 49'ers
10002,New Orleans Pelicans,St. Louis Cardinals,St. Louis Rams
10003,Orlando Magic,Boston Red Sox,Philadelphia Eagles
10004,Indiana Pacers,Chicago Cubs,Chicago Bears
10005,Denver Nuggets,Colorado Rockies,Denver Broncos
10006,Detroit Pistons,Atlanta Braves,Detroit Lions
90001,Milwaukee Bucks,San Diego Padres,San Francisco 49'ers
90002,Chicago Bulls,Chicago White Sox,Chicago Bears
90003,Cleveland Cavaliers,Cleveland Indians,Pittsburgh Steelers
90004,Chicago Bulls,Chicago Cubs,Chicago Bears
90005,Golden State Warriors,Baltimore Orioles,San Francisco 49'ers
90006,Indiana Pacers,Chicago Cubs,Indianapolis Colts
